,name,rating,reviews,companytype,numemployee
0,TCS,3.8,63.8k,IT Services & Consulting , 1 Lakh+ Employees 
1,Accenture,4.1,40.7k,IT Services & Consulting , 1 Lakh+ Employees 
2,Cognizant,3.9,37k,IT Services & Consulting , 1 Lakh+ Employees 
3,Wipro,3.8,33.8k,IT Services & Consulting , 1 Lakh+ Employees 
4,ICICI Bank,4.0,29.9k,Banking , 1 Lakh+ Employees 
5,HDFC Bank,3.9,29.5k,Banking , 1 Lakh+ Employees 
6,Infosys,3.9,27.9k,IT Services & Consulting , 1 Lakh+ Employees 
7,Capgemini,3.9,25.9k,IT Services & Consulting , 1 Lakh+ Employees 
8,Tech Mahindra,3.7,24.3k,IT Services & Consulting , 1 Lakh+ Employees 
9,HCLTech,3.7,23.5k,IT Services & Consulting , 1 Lakh+ Employees 
10,Genpact,4.0,23.3k,IT Services & Consulting , 50k-1 Lakh Employees 
11,Axis Bank,3.8,19.7k,Banking , 50k-1 Lakh Employees 
12,Concentrix Corporation,3.9,19k,BPO , 50k-1 Lakh Employees 
13,Amazon,4.2,18.1k,Internet , 1 Lakh+ Employees 
14,Reliance Jio,3.9,17.9k,Telecom , 50k-1 Lakh Employees 
15,IBM,4.1,17.9k,Software Product , 50k-1 Lakh Employees 
16,Larsen & Toubro Limited,4.0,16.8k,Engineering & Construction , 1 Lakh+ Employees 
17,Reliance Retail,3.9,15.9k,Retail , 1 Lakh+ Employees 
18,HDB Financial Services,4.0,15.9k,NBFC , 10k-50k Employees 
19,Teleperformance,3.6,15k,BPO , 10k-50k Employees 
20,Vodafone Idea,4.2,14.4k,10k-50k Employees , Public 
21,Deloitte,4.0,12.8k,Management Consulting , 1 Lakh+ Employees 
22,BYJU'S,3.2,12.7k,EdTech , 1k-5k Employees 
23,Kotak Mahindra Bank,3.8,12.5k,Banking , 10k-50k Employees 
24,Reliance Industries,4.0,11.7k,Oil & Gas , Public 
25,Bharti Airtel,4.0,10.9k,Telecom , 10k-50k Employees 
26,Tata Motors,4.2,10.1k,Automobile , 10k-50k Employees 
27,Ernst & Young,3.7,8.8k,Accounting & Auditing , 10k-50k Employees 
